,DESCRIP,TOTAL
0,Menores de un año,523
1,De un año,50
2,De 2 años,15
3,De 3 años,9
4,De 4 años,16
5,De 5 a 9 años,47
6,De 10 a 14 años,60
7,De 15 a 19 años,296
8,De 20 a 24 años,433
9,De 25 a 29 años,435
10,De 30 a 34 años,441
11,De 35 a 39 años,502
12,De 40 a 44 años,617
13,De 45 a 49 años,702
14,De 50 a 54 años,799
15,De 55 a 59 años,877
16,De 60 a 64 años,923
17,De 65 a 69 años,1068
18,De 70 a 74 años,1166
19,De 75 a 79 años,1222
20,De 80 a 84 años,1115
21,De 85 a 89 años,783
22,De 90 a 94 años,399
23,De 95 a 99 años,136
24,De 100 a 104 años,22
25,De 105 a 109 años,6
26,De 110 a 114 años,1
27,Edad no  especificada,362
