,DESCRIP,TOTAL
0,Menores de un año,407
1,De un año,43
2,De 2 años,19
3,De 3 años,22
4,De 4 años,15
5,De 5 a 9 años,36
6,De 10 a 14 años,57
7,De 15 a 19 años,99
8,De 20 a 24 años,128
9,De 25 a 29 años,114
10,De 30 a 34 años,154
11,De 35 a 39 años,185
12,De 40 a 44 años,266
13,De 45 a 49 años,342
14,De 50 a 54 años,455
15,De 55 a 59 años,599
16,De 60 a 64 años,750
17,De 65 a 69 años,862
18,De 70 a 74 años,1002
19,De 75 a 79 años,1063
20,De 80 a 84 años,1057
21,De 85 a 89 años,907
22,De 90 a 94 años,505
23,De 95 a 99 años,186
24,De 100 a 104 años,39
25,De 105 a 109 años,9
26,Edad no  especificada,26
