Estructura,Total,Hombres,Mujeres
00-04 años,"315,326","158,272","157,054"
05-09 años,"340,686","173,303","167,383"
10-14 años,"344,426","175,531","168,895"
15-19 años,"320,679","160,672","160,007"
20-24 años,"310,738","154,375","156,363"
25-29 años,"269,165","131,676","137,489"
30-34 años,"259,011","125,898","133,113"
35-39 años,"255,457","123,952","131,505"
40-44 años,"252,643","123,035","129,608"
45-49 años,"218,432","106,462","111,970"
50-54 años,"183,239","88,215","95,024"
55-59 años,"143,289","68,707","74,582"
60-64 años,"110,170","52,790","57,380"
65-69 años,"85,781","40,073","45,708"
70-74 años,"63,482","29,831","33,651"
75 años y más,"82,520","38,719","43,801"
No especificado,"1,530",764,766
